login_id,allowed_notifications,battles_played_total,battles_played,payer,date_id,dau,group
352,True,2,2,False,0,1,group_1
184,True,3,3,False,0,1,group_1
162,False,7,7,False,0,1,group_1
130,True,22,22,False,0,1,group_1
124,True,10,10,False,0,1,group_1
193,True,14,14,False,0,1,group_2
20,False,9,9,False,0,1,group_1
70,True,4,4,False,0,1,group_1
40,True,30,30,False,0,1,group_1
268,True,13,13,False,0,1,group_1
140,False,3,3,False,0,1,group_1
340,True,27,27,False,0,1,group_1
150,True,3,3,False,0,1,group_1
298,True,23,23,False,0,1,group_1
380,True,17,17,False,0,1,group_1
378,True,11,11,False,0,1,group_1
350,True,37,37,False,0,1,group_1
105,True,32,32,False,0,1,group_2
246,False,13,13,False,0,1,group_1
274,True,6,6,False,0,1,group_1
280,True,2,2,False,0,1,group_1
294,False,5,5,False,0,1,group_1
287,True,19,19,False,0,1,group_2
134,False,11,11,False,0,1,group_1
158,False,6,6,False,0,1,group_1
207,True,34,34,False,0,1,group_2
316,False,6,6,False,0,1,group_1
328,True,7,7,False,0,1,group_1
106,True,20,20,False,0,1,group_1
230,True,8,8,False,0,1,group_1
252,False,11,11,False,0,1,group_1
258,True,0,0,False,0,1,group_1
44,True,23,23,False,0,1,group_1
38,True,19,19,False,0,1,group_1
242,True,28,28,False,0,1,group_1
26,True,7,7,False,0,1,group_1
306,False,3,3,False,0,1,group_1
41,True,64,64,False,0,1,group_2
248,True,29,29,False,0,1,group_1
146,False,3,3,False,0,1,group_1
165,True,9,9,False,0,1,group_2
264,False,6,6,False,0,1,group_1
216,True,19,19,False,0,1,group_1
72,True,19,19,False,0,1,group_1
126,False,29,29,False,0,1,group_1
82,False,2,2,False,0,1,group_1
310,True,5,5,False,0,1,group_1
300,False,4,4,False,0,1,group_1
319,True,11,11,False,0,1,group_2
314,True,4,4,True,0,1,group_1
28,False,11,11,False,0,1,group_1
370,False,2,2,False,0,1,group_1
4,False,3,3,False,0,1,group_1
206,True,4,4,False,0,1,group_1
218,False,5,5,False,0,1,group_1
231,False,15,15,False,0,1,group_2
64,True,18,18,False,0,1,group_1
273,False,31,31,False,0,1,group_2
220,False,6,6,False,0,1,group_1
62,True,4,4,False,0,1,group_1
282,True,22,22,False,0,1,group_1
68,True,2,2,False,0,1,group_1
98,False,2,2,False,0,1,group_1
16,False,1,1,False,0,1,group_1
128,True,6,6,False,0,1,group_1
148,False,14,14,False,0,1,group_1
377,False,55,55,False,0,1,group_2
210,True,17,17,False,0,1,group_1
266,True,7,7,False,0,1,group_1
232,False,2,2,False,0,1,group_1
290,True,10,10,False,0,1,group_1
50,False,2,2,False,0,1,group_1
100,True,30,30,False,0,1,group_1
367,False,9,9,False,0,1,group_2
303,True,29,29,False,0,1,group_2
372,False,7,7,False,0,1,group_1
60,False,3,3,False,0,1,group_1
190,False,5,5,False,0,1,group_1
256,True,0,0,False,0,1,group_1
154,True,5,5,False,0,1,group_1
152,True,36,36,False,0,1,group_1
368,False,5,5,False,0,1,group_1
342,True,22,22,False,0,1,group_1
243,False,34,34,False,0,1,group_2
226,True,11,11,True,0,1,group_1
153,False,12,12,False,0,1,group_2
278,True,21,21,False,0,1,group_1
247,True,7,7,False,0,1,group_2
334,False,3,3,False,0,1,group_1
8,False,3,3,False,0,1,group_1
116,True,30,30,False,0,1,group_1
76,False,7,7,False,0,1,group_1
204,False,5,5,False,0,1,group_1
24,True,19,19,False,0,1,group_1
166,True,16,16,False,0,1,group_1
118,False,10,10,False,0,1,group_1
346,True,39,39,False,0,1,group_1
202,False,27,27,False,0,1,group_1
374,True,11,11,False,0,1,group_1
295,False,31,31,False,0,1,group_2
138,False,5,5,False,0,1,group_1
189,True,10,10,False,0,1,group_2
33,False,26,26,False,0,1,group_2
276,True,20,20,False,0,1,group_1
238,True,1,1,False,0,1,group_1
104,False,8,8,False,0,1,group_1
222,False,22,22,False,0,1,group_1
182,False,0,0,False,0,1,group_1
156,True,7,7,False,0,1,group_1
254,False,0,0,False,0,1,group_1
312,True,10,10,False,0,1,group_1
19,True,21,21,False,0,1,group_2
373,False,10,10,False,0,1,group_2
122,True,1,1,False,0,1,group_1
192,False,10,10,False,0,1,group_1
318,True,9,9,False,0,1,group_1
320,False,6,6,False,0,1,group_1
348,True,14,14,False,0,1,group_1
339,True,14,14,False,0,1,group_2
121,True,15,15,True,0,1,group_2
360,False,2,2,False,0,1,group_1
358,True,15,15,False,0,1,group_1
139,True,9,9,False,0,1,group_2
275,True,10,10,False,0,1,group_2
332,True,21,21,False,0,1,group_1
14,False,3,3,False,0,1,group_1
188,True,6,6,False,0,1,group_1
91,True,15,15,False,0,1,group_2
66,True,18,18,False,0,1,group_1
183,True,14,14,False,0,1,group_2
39,True,16,16,False,0,1,group_2
149,True,32,32,False,0,1,group_2
136,True,8,8,False,0,1,group_1
101,True,6,6,False,0,1,group_2
293,False,6,6,False,0,1,group_2
262,True,8,8,False,0,1,group_1
362,True,5,5,False,0,1,group_1
304,True,9,9,False,0,1,group_1
23,True,14,14,False,0,1,group_2
81,False,9,9,False,0,1,group_2
36,True,31,31,False,0,1,group_1
84,False,3,3,False,0,1,group_1
52,True,2,2,False,0,1,group_1
17,False,11,11,False,0,1,group_2
112,True,3,3,False,0,1,group_1
284,False,5,5,False,0,1,group_1
107,True,16,16,False,0,1,group_2
160,True,4,4,False,0,1,group_1
174,True,9,9,False,0,1,group_1
