login_id,retention,dau,group
352,0,1,group_1
184,0,1,group_1
162,0,1,group_1
130,0,1,group_1
124,0,1,group_1
193,0,1,group_2
20,0,1,group_1
70,0,1,group_1
40,0,1,group_1
268,0,1,group_1
140,0,1,group_1
340,0,1,group_1
150,0,1,group_1
298,0,1,group_1
380,0,1,group_1
378,0,1,group_1
350,0,1,group_1
105,0,1,group_2
246,0,1,group_1
274,0,1,group_1
280,0,1,group_1
294,0,1,group_1
287,0,1,group_2
134,0,1,group_1
158,0,1,group_1
207,0,1,group_2
316,0,1,group_1
328,0,1,group_1
106,0,1,group_1
230,0,1,group_1
252,0,1,group_1
258,0,1,group_1
44,0,1,group_1
38,0,1,group_1
242,0,1,group_1
26,0,1,group_1
306,0,1,group_1
41,0,1,group_2
248,0,1,group_1
146,0,1,group_1
165,0,1,group_2
264,0,1,group_1
216,0,1,group_1
72,0,1,group_1
126,0,1,group_1
82,0,1,group_1
310,0,1,group_1
300,0,1,group_1
319,0,1,group_2
314,0,1,group_1
28,0,1,group_1
370,0,1,group_1
4,0,1,group_1
206,0,1,group_1
218,0,1,group_1
231,0,1,group_2
64,0,1,group_1
273,0,1,group_2
220,0,1,group_1
62,0,1,group_1
282,0,1,group_1
68,0,1,group_1
98,0,1,group_1
16,0,1,group_1
128,0,1,group_1
148,0,1,group_1
377,0,1,group_2
210,0,1,group_1
266,0,1,group_1
232,0,1,group_1
290,0,1,group_1
50,0,1,group_1
100,0,1,group_1
367,0,1,group_2
303,0,1,group_2
372,0,1,group_1
60,0,1,group_1
190,0,1,group_1
256,0,1,group_1
154,0,1,group_1
152,0,1,group_1
368,0,1,group_1
342,0,1,group_1
243,0,1,group_2
226,0,1,group_1
153,0,1,group_2
278,0,1,group_1
247,0,1,group_2
334,0,1,group_1
8,0,1,group_1
116,0,1,group_1
76,0,1,group_1
204,0,1,group_1
24,0,1,group_1
166,0,1,group_1
118,0,1,group_1
346,0,1,group_1
202,0,1,group_1
374,0,1,group_1
295,0,1,group_2
138,0,1,group_1
189,0,1,group_2
33,0,1,group_2
276,0,1,group_1
238,0,1,group_1
104,0,1,group_1
222,0,1,group_1
182,0,1,group_1
156,0,1,group_1
254,0,1,group_1
312,0,1,group_1
19,0,1,group_2
373,0,1,group_2
122,0,1,group_1
192,0,1,group_1
318,0,1,group_1
320,0,1,group_1
348,0,1,group_1
339,0,1,group_2
121,0,1,group_2
360,0,1,group_1
358,0,1,group_1
139,0,1,group_2
275,0,1,group_2
332,0,1,group_1
14,0,1,group_1
188,0,1,group_1
91,0,1,group_2
66,0,1,group_1
183,0,1,group_2
39,0,1,group_2
149,0,1,group_2
136,0,1,group_1
101,0,1,group_2
293,0,1,group_2
262,0,1,group_1
362,0,1,group_1
304,0,1,group_1
23,0,1,group_2
81,0,1,group_2
36,0,1,group_1
84,0,1,group_1
52,0,1,group_1
17,0,1,group_2
112,0,1,group_1
284,0,1,group_1
107,0,1,group_2
160,0,1,group_1
174,0,1,group_1
381,0,1,group_2
224,0,1,group_1
338,0,1,group_1
102,0,1,group_1
18,0,1,group_1
308,0,1,group_1
80,0,1,group_1
292,0,1,group_1
272,0,1,group_1
195,0,1,group_2
163,0,1,group_2
58,0,1,group_1
56,0,1,group_1
311,0,1,group_2
51,0,1,group_2
135,0,1,group_2
32,0,1,group_1
86,0,1,group_1
198,0,1,group_1
270,0,1,group_1
240,0,1,group_1
10,0,1,group_1
168,0,1,group_1
234,0,1,group_1
172,0,1,group_1
119,0,1,group_2
286,0,1,group_1
69,0,1,group_2
269,0,1,group_2
131,0,1,group_2
376,0,1,group_1
35,0,1,group_2
235,0,1,group_2
186,0,1,group_1
324,0,1,group_1
120,0,1,group_1
133,0,1,group_2
208,0,1,group_1
103,0,1,group_2
200,0,1,group_1
87,0,1,group_2
74,0,1,group_1
302,0,1,group_1
114,0,1,group_1
322,0,1,group_1
288,0,1,group_1
90,0,1,group_1
336,0,1,group_1
3,0,1,group_2
132,0,1,group_1
236,0,1,group_1
344,0,1,group_1
47,0,1,group_2
94,0,1,group_1
63,0,1,group_2
109,0,1,group_2
201,0,1,group_2
89,0,1,group_2
366,0,1,group_1
185,0,1,group_2
92,0,1,group_1
194,0,1,group_1
